Band name,Band value
20150610_1630_sm_rootzone,0.269
20150610_1930_sm_rootzone,0.268
20150610_2230_sm_rootzone,0.267
20150611_0130_sm_rootzone,0.267
20150611_0430_sm_rootzone,0.267
20150611_0730_sm_rootzone,0.267
20150611_1030_sm_rootzone,0.267
20150611_1330_sm_rootzone,0.267
20150611_1630_sm_rootzone,0.266
20150611_1930_sm_rootzone,0.265
20150611_2230_sm_rootzone,0.264
20150612_0130_sm_rootzone,0.264
20150612_0430_sm_rootzone,0.264
20150612_0730_sm_rootzone,0.264
20150612_1030_sm_rootzone,0.264
20150612_1330_sm_rootzone,0.264
20150612_1630_sm_rootzone,0.262
20150612_1930_sm_rootzone,0.26
20150612_2230_sm_rootzone,0.26
20150613_0130_sm_rootzone,0.26
20150613_0430_sm_rootzone,0.26
20150613_0730_sm_rootzone,0.26
20150613_1030_sm_rootzone,0.26
20150613_1330_sm_rootzone,0.26
20150613_1630_sm_rootzone,0.259
20150613_1930_sm_rootzone,0.258
20150613_2230_sm_rootzone,0.258
20150614_0130_sm_rootzone,0.258
20150614_0430_sm_rootzone,0.258
20150614_0730_sm_rootzone,0.258
20150614_1030_sm_rootzone,0.259
20150614_1330_sm_rootzone,0.258
20150614_1630_sm_rootzone,0.257
20150614_1930_sm_rootzone,0.256
20150614_2230_sm_rootzone,0.256
20150615_0130_sm_rootzone,0.256
20150615_0430_sm_rootzone,0.256
20150615_0730_sm_rootzone,0.257
20150615_1030_sm_rootzone,0.257
20150615_1330_sm_rootzone,0.257
20150615_1630_sm_rootzone,0.256
20150615_1930_sm_rootzone,0.255
20150615_2230_sm_rootzone,0.255
20150616_0130_sm_rootzone,0.257
20150616_0430_sm_rootzone,0.258
20150616_0730_sm_rootzone,0.258
20150616_1030_sm_rootzone,0.259
20150616_1330_sm_rootzone,0.259
20150616_1630_sm_rootzone,0.257
20150616_1930_sm_rootzone,0.256
20150616_2230_sm_rootzone,0.255
20150617_0130_sm_rootzone,0.255
20150617_0430_sm_rootzone,0.255
20150617_0730_sm_rootzone,0.255
20150617_1030_sm_rootzone,0.255
20150617_1330_sm_rootzone,0.255
20150617_1630_sm_rootzone,0.253
20150617_1930_sm_rootzone,0.252
20150617_2230_sm_rootzone,0.251
20150618_0130_sm_rootzone,0.251
20150618_0430_sm_rootzone,0.252
